"","compound","null.model.n","alt.model.n","null.model.sum","alt.model.sum","null.model.sd","alt.model.sd","rss.diff","mannwhit.pval","mannwhit.ec50","Tm_fit.ec50","Tm_fit.pval","Tm_fit.maxDiff","auc.ec50","auc.pval","auc.maxDiff","mannwhit.pval.sig","Tm_fit.pval.sig","auc.pval.sig","mannwhit.rankOrder","Tm_fit.rankOrder","auc.rankOrder"
"1","NCGC00263436-01",58,58,0.611762043428037,0.0317496057372333,0.0143676300068185,0.000644738740329149,0.580012437690804,8.17942057278166e-09,3.31e-05,9.53856556848243e-06,9.51243107394362e-07,3.74257026591678,1.07089486989106e-05,6.56289522393827e-07,-4.20891483878323,1,1,1,27,23,24
"2","NCGC00274266-04",58,58,0.0377476204552479,0.0300052153534925,0.000860721854063745,0.000770557129279201,0.00774240510175535,0.0522743645911961,0,2.49229275608402e-07,0.709572586342991,-0.570907353216995,2.40062031704392e-07,0.6673510196664,0.645476330723781,0,0,0,NA,NA,NA
"3","NCGC00355875-03",58,58,1.09163251835355,0.0138957835913394,0.0252637535833747,0.000189973871320734,1.07773673476221,1.2383345988894e-15,1.12e-07,1.07108952917002e-07,2.24538165838339e-11,3.66723042849154,1.07342676197711e-07,1.70383707143174e-11,-4.12680935347836,1,1,1,15,13,14
"4","NCGC00355875-05",58,58,1.04401935643883,0.0348342346621152,0.0237264105321008,0.00050089875780857,1.00918512177672,9.10144781642696e-11,3.14e-08,3.23322520922084e-08,3.83319431751517e-09,3.90802215052062,3.20866839212197e-08,2.27558405452299e-09,-4.36978593932476,1,1,1,11,9,10
"5","NCGC00355887-02",58,58,0.522559300466882,0.049173417482656,0.0115048947299403,0.00106016224466742,0.473385882984226,2.19745148967176e-07,4.24e-05,1.99047171411489e-05,6.62368313175676e-06,3.30347089079621,2.13647814411276e-05,4.9181709340651e-06,-3.73360761791571,1,1,1,28,25,26
"6","NCGC00356269-01",58,58,0.052412974184672,0.0487894632974721,0.00125607269947363,0.00123926265318729,0.00362351088719987,0.387501938665784,0,6.69443030534113e-07,0.976328913147778,-0.536679110310814,9.73569842013021e-07,0.973956145623021,0.606955880524865,0,0,0,NA,NA,NA
"7","NCGC00356387-02",58,58,0.672068927499751,0.0172191807408033,0.0158350167706254,0.000348624427192162,0.654849746758948,3.81056325688847e-14,2.74e-06,2.95246778695867e-06,4.79216577531361e-09,3.29245729623469,2.81148223249415e-06,3.35751171309795e-09,-3.68129322945691,1,1,1,21,19,19
"8","NCGC00356705-02",58,58,0.469619742154465,0.0133465406244881,0.0110786122323487,0.000262146269153891,0.456273201529977,1.05800063580855e-11,4.57e-06,4.81010967241378e-06,2.30008012636063e-10,3.01401281819611,4.76840751234178e-06,3.08276071336877e-10,-3.38111859852794,1,1,1,23,22,23
"9","NCGC00356756-04",58,58,0.38739867528666,0.0474349093931111,0.00913488144569706,0.00116661360746882,0.339963765893549,1.01208139684802e-05,3.05e-05,2.21149249034308e-05,3.05554137214337e-05,2.9830327208015,2.2149784001052e-05,2.52619974900892e-05,-3.31650993601297,1,1,1,26,26,28
"10","NCGC00357537-02",58,58,1.12111998993587,0.0253603345119505,0.027281702848835,0.000598776021702896,1.09575965542392,3.84808547024329e-12,2.63e-06,2.74583498810425e-06,1.26718235904377e-09,4.11237013161522,2.71650937651029e-06,1.29161770168196e-09,-4.53468533866751,1,1,1,20,18,18
